RSES_1,RSES_2,RSES_3,RSES_4,RSES_5,RSES_6,RSES_7,RSES_8,RSES_9,RSES_10,RSES_condition
4,3,3,3,2,4,3,4,5,5,ItemSpecificF
4,5,4,5,3,5,5,4,5,4,RevisedU
4,4,4,3,4,4,4,4,3,4,Original
1,2,2,2,3,1,1,2,2,1,ItemSpecificF
4,4,4,4,4,3,3,3,4,3,Expanded
4,NA,4,4,4,4,4,3,5,3,ItemSpecificL
2,4,2,3,3,4,3,3,2,4,RevisedB
4,4,3,4,3,2,2,2,2,3,RevisedU
4,4,4,4,4,4,4,4,4,4,ItemSpecificF
2,4,2,2,3,2,2,2,2,2,RevisedB
4,3,4,3,4,4,4,4,4,4,ItemSpecificL
4,2,3,3,3,3,3,4,4,4,Expanded
5,5,5,5,5,4,4,5,4,3,Original
4,4,4,3,NA,4,4,3,4,2,RevisedU
4,4,3,4,4,4,3,4,4,3,RevisedU
3,4,2,3,3,2,2,2,2,2,Original
3,3,3,3,2,3,4,3,4,2,ItemSpecificL
4,4,3,4,3,3,3,3,4,3,Expanded
4,4,3,4,3,4,3,4,4,4,ItemSpecificF
5,4,4,4,4,4,2,2,4,4,ItemSpecificL
4,4,4,4,4,4,4,3,3,4,Expanded
4,2,4,4,4,2,2,4,4,2,RevisedU
3,4,4,4,2,2,2,2,2,2,ItemSpecificF
2,5,5,5,5,5,5,5,5,5,Original
4,3,3,4,4,3,4,3,4,3,ItemSpecificF
5,4,4,5,5,5,4,3,4,5,Original
4,3,3,4,4,3,3,3,4,3,Expanded
5,4,4,4,5,5,4,5,5,4,RevisedU
5,4,2,4,4,4,4,4,5,4,RevisedB
4,4,4,4,4,4,4,4,4,4,ItemSpecificL
4,3,3,4,4,4,3,4,4,4,ItemSpecificF
3,4,2,3,2,3,3,2,2,2,RevisedB
5,4,5,5,5,4,4,4,4,4,RevisedU
3,5,4,5,5,4,3,5,4,4,ItemSpecificL
5,4,4,4,4,4,4,4,5,4,Expanded
4,4,4,4,4,2,2,2,2,2,Original
4,4,3,3,4,4,3,3,4,4,Expanded
4,4,4,4,4,4,3,4,4,3,ItemSpecificF
4,5,3,5,4,5,4,4,3,5,Original
4,4,4,5,4,4,2,2,4,3,RevisedU
3,4,4,4,3,3,4,4,2,3,ItemSpecificL
4,5,4,4,3,4,2,1,2,2,Original
3,2,3,2,3,3,4,4,4,3,ItemSpecificL
3,3,4,4,4,2,3,3,4,3,Expanded
5,5,2,1,4,4,3,4,4,2,RevisedB
4,4,3,4,4,4,3,3,4,3,ItemSpecificF
4,4,2,4,2,4,2,2,4,4,RevisedU
4,4,3,4,3,3,3,3,4,3,RevisedB
1,2,2,1,2,1,1,1,2,2,ItemSpecificF
3,4,4,3,4,2,3,2,2,3,RevisedU
3,5,4,2,4,4,3,3,2,2,Original
5,5,5,5,5,5,5,5,5,5,Expanded
4,4,4,4,4,4,4,3,4,4,ItemSpecificL
4,4,5,3,5,4,4,5,5,3,RevisedB
3,3,2,3,3,3,2,3,4,3,ItemSpecificL
5,5,4,4,4,5,4,4,5,4,RevisedU
3,4,4,3,2,3,1,2,3,2,Original
4,3,3,4,4,4,3,3,4,3,ItemSpecificF
3,3,2,3,3,2,2,3,4,3,Expanded
